country,state,cases,Recovered,deaths,mortality_rate
China,Beijing,569,408.0,8,0.014059753954305799
China,Chongqing,578,570.0,6,0.010380622837370242
China,Fujian,331,295.0,1,0.0030211480362537764
China,Gansu,136,123.0,2,0.014705882352941176
China,Guangdong,1456,1337.0,8,0.005494505494505495
China,Guangxi,254,250.0,2,0.007874015748031496
China,Guizhou,146,144.0,2,0.0136986301369863
China,Hainan,168,168.0,6,0.03571428571428571
China,Hebei,319,310.0,6,0.018808777429467086
China,Heilongjiang,484,469.0,13,0.026859504132231406
China,Henan,1275,1250.0,22,0.017254901960784313
China,Hong Kong,519,110.0,4,0.007707129094412331
China,Hubei,67801,61732.0,3174,0.0468134688278934
China,Hunan,1018,1014.0,4,0.003929273084479371
China,Inner Mongolia,92,74.0,1,0.010869565217391304
China,Jiangsu,641,631.0,0,0.0
China,Jiangxi,936,934.0,1,0.0010683760683760685
China,Jilin,95,92.0,1,0.010526315789473684
China,Liaoning,128,124.0,2,0.015625
China,Macau,33,10.0,0,0.0
China,Ningxia,75,75.0,0,0.0
China,Qinghai,18,18.0,0,0.0
China,Shaanxi,253,242.0,3,0.011857707509881422
China,Shandong,772,752.0,7,0.009067357512953367
China,Shanghai,468,334.0,5,0.010683760683760684
China,Shanxi,135,133.0,0,0.0
China,Sichuan,548,536.0,3,0.005474452554744526
China,Tianjin,155,133.0,3,0.01935483870967742
China,Tibet,1,1.0,0,0.0
China,Xinjiang,76,73.0,3,0.039473684210526314
China,Yunnan,180,172.0,2,0.011111111111111112
China,Zhejiang,1247,1222.0,1,0.0008019246190858059
Colombia,,539,10.0,6,0.011131725417439703
Congo (Brazzaville),,4,0.0,0,0.0
Congo (Kinshasa),,51,2.0,3,0.058823529411764705
Costa Rica,,263,3.0,2,0.0076045627376425855
Cote d'Ivoire,,101,3.0,0,0.0
Croatia,,586,37.0,3,0.005119453924914676
Diamond Princess,,712,597.0,10,0.014044943820224719
Cuba,,80,4.0,2,0.025
Cyprus,,162,15.0,5,0.030864197530864196
Czechia,,2279,11.0,9,0.003949100482667837
Denmark,Faroe Islands,144,54.0,0,0.0
Denmark,Greenland,10,2.0,0,0.0
Denmark,,2046,1.0,52,0.02541544477028348
Djibouti,,12,0.0,0,0.0
Dominican Republic,,581,3.0,20,0.03442340791738382
Ecuador,,1595,3.0,36,0.0225705329153605
Egypt,,536,116.0,30,0.055970149253731345
El Salvador,,13,0.0,0,0.0
Equatorial Guinea,,12,0.0,0,0.0
Eritrea,,6,0.0,0,0.0
Estonia,,575,11.0,1,0.0017391304347826088
Eswatini,,9,0.0,0,0.0
Ethiopia,,16,0.0,0,0.0
Fiji,,5,0.0,0,0.0
Finland,,1041,10.0,7,0.0067243035542747355
France,French Guiana,28,6.0,0,0.0
France,French Polynesia,30,0.0,0,0.0
France,Guadeloupe,73,0.0,1,0.0136986301369863
France,Mayotte,50,0.0,0,0.0
France,New Caledonia,15,0.0,0,0.0
France,Reunion,145,1.0,0,0.0
